id,question_type,len_answer
level3_1,one answer,4
level3_2,one answer,4
level3_5,one answer,4
level3_13,one answer,2
level3_14,unknown,4
level3_17,one answer,4
level3_22,unknown,4
level3_27,unknown,2
level3_35,unknown,3
level3_42,one answer,2
level3_53,unknown,5
level3_55,one answer,3
level3_76,unknown,3
level3_93,unknown,3
level3_96,one answer,3
level1_88,unknown,3
level1_120,unknown,4
level1_94,one answer,4
level1_37,one answer,3
level1_116,unknown,3
level1_38,unknown,3
level1_65,unknown,3
level1_110,unknown,3
level1_11,unknown,3
level1_118,one answer,4
level1_41,one answer,2
level1_104,unknown,3
level1_92,unknown,3
level1_25,one answer,4
level1_44,unknown,4
level1_95,unknown,4
level1_121,unknown,4
level1_91,unknown,3
level1_107,unknown,3
level1_84,unknown,3
level1_21,unknown,3
level1_122,one answer,4
level1_19,unknown,2
level1_98,unknown,3
level1_74,unknown,2
level1_83,one answer,3
level1_111,unknown,3
level1_72,unknown,3
level1_123,one answer,4
level1_54,unknown,5
level1_73,unknown,3
level1_64,one answer,3
level1_43,one answer,2
level1_97,one answer,3
level1_102,unknown,3
level1_26,unknown,2
level1_33,one answer,3
level1_86,unknown,3
level1_90,unknown,3
level1_100,unknown,3
level1_48,one answer,4
level1_18,one answer,2
level1_113,unknown,3
level1_106,unknown,3
level1_7,unknown,3
level1_24,unknown,3
level1_79,unknown,4
level1_40,unknown,3
level1_62,unknown,4
level1_23,unknown,3
level1_10,unknown,3
level1_103,one answer,3
level1_105,unknown,3
level1_59,one answer,4
level1_46,unknown,4
level2_1,unknown,3
level2_2,unknown,3
level2_3,unknown,3
level2_10,unknown,4
level2_11,one answer,3
level2_12,one answer,3
level2_16,one answer,4
level2_17,unknown,4
level2_18,unknown,4
level2_23,unknown,3
level2_24,unknown,5
level2_25,unknown,3
level2_29,unknown,4
level2_30,unknown,4
level2_31,one answer,3
level2_32,unknown,5
level2_33,unknown,3
level2_34,unknown,4
level2_35,unknown,3
level2_36,one answer,3
level2_36,unknown,4
level2_37,unknown,4
level2_38,unknown,4
level2_39,unknown,4
level2_40,unknown,4
level4_4,unknown,4
level4_9,unknown,4
level4_27,unknown,4
level4_28,unknown,4
level4_35,one answer,3
